"","date","which.news","actual","forcast","difference"
"160","2012-12-28-11-00","US DOE Refinery Utilization",-1.2,"-0.2",-1
"161","2012-12-19-10-30","US DOE Refinery Utilization",1.1,"0",1.1
"162","2012-12-12-10-30","US DOE Refinery Utilization",-0.2,"0",-0.2
"163","2012-12-05-10-30","US DOE Refinery Utilization",2,"0.5",1.5
"164","2012-11-28-10-30","US DOE Refinery Utilization",1.1,"0.5",0.6
"165","2012-11-21-10-30","US DOE Refinery Utilization",1.5,"0.5",1
"166","2012-11-15-11-00","US DOE Refinery Utilization",0.6,"0.5",0.1
"167","2012-11-07-10-30","US DOE Refinery Utilization",-2.3,"-1.5",-0.8
"168","2012-11-01-11-00","US DOE Refinery Utilization",0.5,"0.13",0.37
"169","2012-10-24-10-30","US DOE Refinery Utilization",-0.2,"0.5",-0.7
"170","2012-10-17-10-30","US DOE Refinery Utilization",0.7,"0.25",0.45
"171","2012-10-11-11-00","US DOE Refinery Utilization",-1.5,"0",-1.5
"172","2012-10-03-10-30","US DOE Refinery Utilization",0.8,"0.1",0.7
"173","2012-09-26-10-30","US DOE Refinery Utilization",-1.5,"0.25",-1.75
"174","2012-09-19-10-30","US DOE Refinery Utilization",4.2,"1",3.2
"175","2012-09-12-10-30","US DOE Refinery Utilization",-1.4,"1",-2.4
"176","2012-09-06-11-00","US DOE Refinery Utilization",-5.1,"-1.5",-3.6
"177","2012-08-29-10-30","US DOE Refinery Utilization",0,"-0.3",0.3
"178","2012-08-22-10-30","US DOE Refinery Utilization",-1.4,"-0.3",-1.1
"179","2012-08-15-10-30","US DOE Refinery Utilization",0,"-0.6",0.6
"180","2012-08-08-10-30","US DOE Refinery Utilization",0.4,"-0.5",0.9
"181","2012-08-01-10-30","US DOE Refinery Utilization",-0.8,"-0.5",-0.3
"182","2012-07-25-10-30","US DOE Refinery Utilization",1,"-0.1",1.1
"183","2012-07-18-10-30","US DOE Refinery Utilization",-0.7,"0.3",-1
"184","2012-07-11-10-30","US DOE Refinery Utilization",0.7,"0.2",0.5
"185","2012-07-05-11-00","US DOE Refinery Utilization",-0.6,"0.3",-0.9
"186","2012-06-27-10-30","US DOE Refinery Utilization",0.7,"0",0.7
"187","2012-06-20-10-30","US DOE Refinery Utilization",-0.1,"0.3",-0.4
"188","2012-06-13-10-30","US DOE Refinery Utilization",1,"0",1
"189","2012-06-06-10-30","US DOE Refinery Utilization",1.9,"0.5",1.4
"190","2012-05-31-11-00","US DOE Refinery Utilization",1,"0.4",0.6
"191","2012-05-23-10-30","US DOE Refinery Utilization",-0.2,"0.3",-0.5
"192","2012-05-16-10-30","US DOE Refinery Utilization",1.9,"0.5",1.4
"193","2012-05-09-10-30","US DOE Refinery Utilization",0.4,"0.5",-0.1
"194","2012-05-02-10-30","US DOE Refinery Utilization",1.3,"0.4",0.9
"195","2012-04-25-10-30","US DOE Refinery Utilization",0.1,"0.5",-0.4
"196","2012-04-18-10-30","US DOE Refinery Utilization",0.8,"0.6",0.2
"197","2012-04-11-10-30","US DOE Refinery Utilization",-1.9,"0.3",-2.2
"198","2012-04-04-10-30","US DOE Refinery Utilization",1.2,"0.35",0.85
"199","2012-03-28-10-30","US DOE Refinery Utilization",2.3,"0.3",2
"200","2012-03-21-10-30","US DOE Refinery Utilization",-0.5,"0",-0.5
"201","2012-03-14-10-30","US DOE Refinery Utilization",-1.2,"0",-1.2
"202","2012-03-07-10-30","US DOE Refinery Utilization",0.3,"0",0.3
"203","2012-02-29-10-30","US DOE Refinery Utilization",-1.9,"0.5",-2.4
"204","2012-02-23-11-00","US DOE Refinery Utilization",1.5,"-0.5",2
"205","2012-02-15-10-30","US DOE Refinery Utilization",1.2,"-0.15",1.35
"206","2012-02-08-10-30","US DOE Refinery Utilization",1,"-0.4",1.4
"207","2012-02-01-10-30","US DOE Refinery Utilization",-0.4,"0",-0.4
"208","2012-01-25-10-30","US DOE Refinery Utilization",-1.5,"-0.4",-1.1
"209","2012-01-19-11-00","US DOE Refinery Utilization",-1.9,"-0.5",-1.4
"210","2012-01-11-10-30","US DOE Refinery Utilization",0.6,"0.5",0.1
"211","2012-01-05-11-00","US DOE Refinery Utilization",0.8,"0.5",0.3
"212","2011-12-29-11-00","US DOE Refinery Utilization",-0.7,"0",-0.7
