"","date","which.news","actual","forcast","difference"
"137","2013-06-05-10-30","US DOE Gasoline Inventories",-366,"1000",-1366
"138","2013-05-30-11-00","US DOE Gasoline Inventories",-1514,"-500",-1014
"139","2013-05-22-10-30","US DOE Gasoline Inventories",3015,"-300",3315
"140","2013-05-15-10-30","US DOE Gasoline Inventories",2588,"-1100",3688
"141","2013-05-08-10-30","US DOE Gasoline Inventories",-910,"-475",-435
"142","2013-05-01-10-30","US DOE Gasoline Inventories",-1818,"-900",-918
"143","2013-04-24-10-30","US DOE Gasoline Inventories",-3928,"-600",-3328
"144","2013-04-17-10-30","US DOE Gasoline Inventories",-633,"-800",167
"145","2013-04-10-10-30","US DOE Gasoline Inventories",1699,"-1500",3199
"146","2013-04-03-10-30","US DOE Gasoline Inventories",-572,"-1000",428
"147","2013-03-27-10-30","US DOE Gasoline Inventories",-1596,"-1000",-596
"148","2013-03-20-10-30","US DOE Gasoline Inventories",-1476,"-2000",524
"149","2013-03-13-10-30","US DOE Gasoline Inventories",-3571,"-1200",-2371
"150","2013-03-06-10-30","US DOE Gasoline Inventories",-616,"-1000",384
"151","2013-02-27-10-30","US DOE Gasoline Inventories",-1857,"-1000",-857
"152","2013-02-21-11-00","US DOE Gasoline Inventories",-2884,"-900",-1984
"153","2013-02-13-10-30","US DOE Gasoline Inventories",-803,"500",-1303
"154","2013-02-06-10-30","US DOE Gasoline Inventories",1738,"900",838
"155","2013-01-30-10-30","US DOE Gasoline Inventories",-956,"1000",-1956
"156","2013-01-24-11-00","US DOE Gasoline Inventories",-1738,"1250",-2988
"157","2013-01-16-10-30","US DOE Gasoline Inventories",1910,"2700",-790
"158","2013-01-09-10-30","US DOE Gasoline Inventories",7412,"2500",4912
"159","2013-01-04-11-00","US DOE Gasoline Inventories",2569,"2200",369
"160","2012-12-28-11-00","US DOE Gasoline Inventories",3782,"850",2932
"161","2012-12-19-10-30","US DOE Gasoline Inventories",2207,"2000",207
"162","2012-12-12-10-30","US DOE Gasoline Inventories",5000,"2000",3000
"163","2012-12-05-10-30","US DOE Gasoline Inventories",7860,"1550",6310
"164","2012-11-28-10-30","US DOE Gasoline Inventories",3865,"900",2965
"165","2012-11-21-10-30","US DOE Gasoline Inventories",-1547,"1000",-2547
"166","2012-11-15-11-00","US DOE Gasoline Inventories",-440,"-1000",560
"167","2012-11-07-10-30","US DOE Gasoline Inventories",2875,"-1500",4375
"168","2012-11-01-11-00","US DOE Gasoline Inventories",935,"850",85
"169","2012-10-24-10-30","US DOE Gasoline Inventories",1439,"500",939
"170","2012-10-17-10-30","US DOE Gasoline Inventories",1720,"500",1220
"171","2012-10-11-11-00","US DOE Gasoline Inventories",-534,"250",-784
"172","2012-10-03-10-30","US DOE Gasoline Inventories",114,"-500",614
"173","2012-09-26-10-30","US DOE Gasoline Inventories",-481,"500",-981
"174","2012-09-19-10-30","US DOE Gasoline Inventories",-1407,"1000",-2407
"175","2012-09-12-10-30","US DOE Gasoline Inventories",-1177,"-1700",523
"176","2012-09-06-11-00","US DOE Gasoline Inventories",-2334,"-3000",666
"177","2012-08-29-10-30","US DOE Gasoline Inventories",-1509,"-1450",-59
"178","2012-08-22-10-30","US DOE Gasoline Inventories",-962,"-1350",388
"179","2012-08-15-10-30","US DOE Gasoline Inventories",-2371,"-2000",-371
"180","2012-08-08-10-30","US DOE Gasoline Inventories",-1801,"-1750",-51
"181","2012-08-01-10-30","US DOE Gasoline Inventories",-2174,"800",-2974
"182","2012-07-25-10-30","US DOE Gasoline Inventories",4134,"-1000",5134
"183","2012-07-18-10-30","US DOE Gasoline Inventories",-1815,"1200",-3015
"184","2012-07-11-10-30","US DOE Gasoline Inventories",2752,"500",2252
"185","2012-07-05-11-00","US DOE Gasoline Inventories",151,"1000",-849
"186","2012-06-27-10-30","US DOE Gasoline Inventories",2078,"1000",1078
"187","2012-06-20-10-30","US DOE Gasoline Inventories",943,"1000",-57
"188","2012-06-13-10-30","US DOE Gasoline Inventories",-1724,"1400",-3124
"189","2012-06-06-10-30","US DOE Gasoline Inventories",3346,"950",2396
"190","2012-05-31-11-00","US DOE Gasoline Inventories",-833,"-1000",167
"191","2012-05-23-10-30","US DOE Gasoline Inventories",-3299,"-650",-2649
"192","2012-05-16-10-30","US DOE Gasoline Inventories",-2797,"-100",-2697
"193","2012-05-09-10-30","US DOE Gasoline Inventories",-2613,"-750",-1863
"194","2012-05-02-10-30","US DOE Gasoline Inventories",-2009,"-1500",-509
"195","2012-04-25-10-30","US DOE Gasoline Inventories",-2235,"-1500",-735
"196","2012-04-18-10-30","US DOE Gasoline Inventories",-3671,"-1100",-2571
"197","2012-04-11-10-30","US DOE Gasoline Inventories",-4277,"-1375",-2902
"198","2012-04-04-10-30","US DOE Gasoline Inventories",-1457,"-1400",-57
"199","2012-03-28-10-30","US DOE Gasoline Inventories",-3537,"-1550",-1987
"200","2012-03-21-10-30","US DOE Gasoline Inventories",-1214,"-2000",786
"201","2012-03-14-10-30","US DOE Gasoline Inventories",-1410,"-1000",-410
"202","2012-03-07-10-30","US DOE Gasoline Inventories",-396,"-1600",1204
"203","2012-02-29-10-30","US DOE Gasoline Inventories",-1600,"-425",-1175
"204","2012-02-23-11-00","US DOE Gasoline Inventories",-649,"250",-899
"205","2012-02-15-10-30","US DOE Gasoline Inventories",400,"700",-300
"206","2012-02-08-10-30","US DOE Gasoline Inventories",1629,"875",754
"207","2012-02-01-10-30","US DOE Gasoline Inventories",3017,"500",2517
"208","2012-01-25-10-30","US DOE Gasoline Inventories",-390,"2000",-2390
"209","2012-01-19-11-00","US DOE Gasoline Inventories",3717,"2350",1367
"210","2012-01-11-10-30","US DOE Gasoline Inventories",3610,"2550",1060
"211","2012-01-05-11-00","US DOE Gasoline Inventories",2479,"1000",1479
"212","2011-12-29-11-00","US DOE Gasoline Inventories",-692,"-500",-192
