"","date","which.news","actual","forcast","difference"
"171","2012-10-11-11-00","US DOE Crude Oil Inventories",1672,"1500",172
"172","2012-10-03-10-30","US DOE Crude Oil Inventories",-482,"1500",-1982
"173","2012-09-26-10-30","US DOE Crude Oil Inventories",-2446,"1900",-4346
"174","2012-09-19-10-30","US DOE Crude Oil Inventories",8534,"1000",7534
"175","2012-09-12-10-30","US DOE Crude Oil Inventories",1994,"-2900",4894
"176","2012-09-06-11-00","US DOE Crude Oil Inventories",-7426,"-4950",-2476
"177","2012-08-29-10-30","US DOE Crude Oil Inventories",3778,"-1750",5528
"178","2012-08-22-10-30","US DOE Crude Oil Inventories",-5412,"-250",-5162
"179","2012-08-15-10-30","US DOE Crude Oil Inventories",-3699,"-1500",-2199
"180","2012-08-08-10-30","US DOE Crude Oil Inventories",-3729,"-1550",-2179
"181","2012-08-01-10-30","US DOE Crude Oil Inventories",-6522,"-1000",-5522
"182","2012-07-25-10-30","US DOE Crude Oil Inventories",2717,"-1000",3717
"183","2012-07-18-10-30","US DOE Crude Oil Inventories",-809,"-1300",491
"184","2012-07-11-10-30","US DOE Crude Oil Inventories",-4696,"-1375",-3321
"185","2012-07-05-11-00","US DOE Crude Oil Inventories",-4270,"-2300",-1970
"186","2012-06-27-10-30","US DOE Crude Oil Inventories",-133,"-1300",1167
"187","2012-06-20-10-30","US DOE Crude Oil Inventories",2861,"-1300",4161
"188","2012-06-13-10-30","US DOE Crude Oil Inventories",-191,"-1500",1309
"189","2012-06-06-10-30","US DOE Crude Oil Inventories",-111,"-500",389
"190","2012-05-31-11-00","US DOE Crude Oil Inventories",2213,"1000",1213
"191","2012-05-23-10-30","US DOE Crude Oil Inventories",883,"1650",-767
"192","2012-05-16-10-30","US DOE Crude Oil Inventories",2128,"1750",378
"193","2012-05-09-10-30","US DOE Crude Oil Inventories",3652,"2000",1652
"194","2012-05-02-10-30","US DOE Crude Oil Inventories",2840,"2500",340
"195","2012-04-25-10-30","US DOE Crude Oil Inventories",3978,"2800",1178
"196","2012-04-18-10-30","US DOE Crude Oil Inventories",3856,"1800",2056
"197","2012-04-11-10-30","US DOE Crude Oil Inventories",2791,"2000",791
"198","2012-04-04-10-30","US DOE Crude Oil Inventories",9009,"2500",6509
"199","2012-03-28-10-30","US DOE Crude Oil Inventories",7102,"2550",4552
"200","2012-03-21-10-30","US DOE Crude Oil Inventories",-1162,"2200",-3362
"201","2012-03-14-10-30","US DOE Crude Oil Inventories",1750,"1600",150
"202","2012-03-07-10-30","US DOE Crude Oil Inventories",832,"1500",-668
"203","2012-02-29-10-30","US DOE Crude Oil Inventories",4160,"1100",3060
"204","2012-02-23-11-00","US DOE Crude Oil Inventories",1633,"1350",283
"205","2012-02-15-10-30","US DOE Crude Oil Inventories",-171,"1500",-1671
"206","2012-02-08-10-30","US DOE Crude Oil Inventories",304,"2500",-2196
"207","2012-02-01-10-30","US DOE Crude Oil Inventories",4175,"2600",1575
"208","2012-01-25-10-30","US DOE Crude Oil Inventories",3558,"1450",2108
"209","2012-01-19-11-00","US DOE Crude Oil Inventories",-3438,"3000",-6438
"210","2012-01-11-10-30","US DOE Crude Oil Inventories",4958,"1000",3958
"211","2012-01-05-11-00","US DOE Crude Oil Inventories",2209,"-1000",3209
"212","2011-12-29-11-00","US DOE Crude Oil Inventories",3899,"-2500",6399
